paid,conflict_id,dyad_name,conflict_name,peace_date,dyadep_id,dyadepisode,type_of_conflict2,dyadcount,dyadterm,end_date,ependprec,outcome,cfiredate,peagdate,recur,version,dyad_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region,duration_after_peace,possible_resume
1128,333,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1993-03-07,72602.0,2,3,2,1.0,2003-12-31,5.0,5.0,,,0,3,726,2003,Afghanistan,Government of Afghanistan,130,"Government of Norway, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2002-09-05,1,700,3,3951,False
1128,333,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1993-03-07,72603.0,3,3,2,1.0,2006-12-31,5.0,5.0,,,1,3,726,2006,Afghanistan,Government of Afghanistan,130,,Hizb-i Islami-yi Afghanistan,299,,2,,1,3,1980-03-31,3,2006-08-24,1,700,3,5047,False
1128,333,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1993-03-07,72604.0,4,3,2,1.0,2011-12-31,5.0,5.0,,,0,3,726,2011,Afghanistan,Government of Afghanistan,130,"Government of Albania, Government of Armenia, Government of Australia, Government of Austria, Government of Azerbaijan, Government of Belgium, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Canada, Government of Croatia, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Georgia, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Ireland, Government of Italy, Government of Latvia, Government of Lithuania, Government of Luxembourg, Government of Malaysia, Government of Mongolia, Government of Montenegro, Government of Netherlands, Government of New Zealand, Government of North Macedonia, Government of Norway, Government of Poland, Government of Portugal, Government of Romania, Government of Singapore, Government of Slovakia, Government of Slovenia, Government of South Korea, Government of Spain, Government of Sweden, Government of Tonga, Government of Turkey, Government of Ukraine, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2008-04-06,1,700,3,6873,False
1128,333,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1993-03-07,72605.0,5,3,2,1.0,2013-12-31,5.0,5.0,,,1,3,726,2013,Afghanistan,Government of Afghanistan,130,"Government of Albania, Government of Armenia, Government of Australia, Government of Austria, Government of Azerbaijan, Government of Belgium, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Canada, Government of Croatia, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Georgia, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Ireland, Government of Italy, Government of Latvia, Government of Lithuania, Government of Luxembourg, Government of Malaysia, Government of Mongolia, Government of Montenegro, Government of Netherlands, Government of New Zealand, Government of North Macedonia, Government of Norway, Government of Poland, Government of Portugal, Government of Romania, Government of Singapore, Government of Slovakia, Government of Slovenia, Government of South Korea, Government of Spain, Government of Sweden, Government of Tonga, Government of Turkey, Government of Ukraine, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2013-08-26,1,700,3,7604,False
1128,333,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1993-03-07,73201.0,1,3,4,1.0,1995-12-31,5.0,2.0,1996-01-11 00:00:00,,0,3,732,1995,Afghanistan,Government of Afghanistan,130,,Hizb-i Wahdat,300,,2,,1,3,1989-07-12,7,1989-12-31,5,700,3,1029,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,72402.0,2,3,3,1.0,1996-12-31,5.0,6.0,,,1,3,724,1996,Afghanistan,Government of Afghanistan,130,,Jam'iyyat-i Islami-yi Afghanistan,292,,2,,1,3,1975-07-02,6,1996-10-05,1,700,3,1321,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,72601.0,1,3,4,1.0,1995-12-31,5.0,1.0,,1996-05-24 00:00:00,0,3,726,1995,Afghanistan,Government of Afghanistan,130,,Hizb-i Islami-yi Afghanistan,299,,2,,1,3,1980-03-31,3,1980-03-31,3,700,3,955,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,72602.0,2,3,2,1.0,2003-12-31,5.0,5.0,,,0,3,726,2003,Afghanistan,Government of Afghanistan,130,"Government of Norway, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2002-09-05,1,700,3,3877,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,72603.0,3,3,2,1.0,2006-12-31,5.0,5.0,,,1,3,726,2006,Afghanistan,Government of Afghanistan,130,,Hizb-i Islami-yi Afghanistan,299,,2,,1,3,1980-03-31,3,2006-08-24,1,700,3,4973,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,72604.0,4,3,2,1.0,2011-12-31,5.0,5.0,,,0,3,726,2011,Afghanistan,Government of Afghanistan,130,"Government of Albania, Government of Armenia, Government of Australia, Government of Austria, Government of Azerbaijan, Government of Belgium, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Canada, Government of Croatia, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Georgia, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Ireland, Government of Italy, Government of Latvia, Government of Lithuania, Government of Luxembourg, Government of Malaysia, Government of Mongolia, Government of Montenegro, Government of Netherlands, Government of New Zealand, Government of North Macedonia, Government of Norway, Government of Poland, Government of Portugal, Government of Romania, Government of Singapore, Government of Slovakia, Government of Slovenia, Government of South Korea, Government of Spain, Government of Sweden, Government of Tonga, Government of Turkey, Government of Ukraine, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2008-04-06,1,700,3,6799,False
